id,tenant,priority,status,status_reason,platform,product_found,submitted_date,title,hsd_link
14028270011,server_platf.bug,p2-high,open,open.awaiting_debug,Oak Stream DMR Platforms,Johnson City AP,07/17/2026,"[ATSCALE-SFT][PAIV.Cluster][DMR UCC][jf53nor09bs0302][BETA][SFT][BKC OKS-DMR-AP-CENTOS-26.27.4.16][Coredump] not ok sandstone 251 apx mrn_rmw_avx2 coredump during AtScale:SDE:PAIV-Mixer_random_workloads",https://hsdes.intel.com/appstore/article/#/14028270011
22022874732,server_platf.bug,p2-high,open,open.new,Oak Stream DMR Platforms,Johnson City AP,07/12/2026,"[SHARED][PAIV.Security][DMR UCC][cs16ca101gs0403][BETA][BKC OKS_DMR_AP_X1_X4_2026WW28][Coredump] systemd creds socket Credential Encryption Decryption during Sandstone on TD guest (Linux)",https://hsdes.intel.com/appstore/article/#/22022874732
14028200436,server_platf.bug,p2-high,open,open.new,Oak Stream DMR Platforms,Johnson City AP,07/07/2026,"[ATSCALE-SFT][Outside NGA EXC][DMR UCC][jf11x1703as0110][BETA][SFT][BKC OKS-DMR-AP-CENTOS-26.22.7.21][Coredump] not ok sandstone 182 mesh_upi_avx512_256 sandstone 210 prng2_mt19937_64 coredump during Outside NGA EXC",https://hsdes.intel.com/appstore/article/#/14028200436
15019584827,server_platf.bug,p2-high,complete,complete.product_changed,Oak Stream DMR Platforms,Johnson City AP,07/01/2026,"[AtScale-Cluster][DMR][AP][1S][SFT][ES2] MCE handler enters infinite loop while running memory-uncorrectable-non-fatal error injection",https://hsdes.intel.com/appstore/article/#/15019584827
14028100885,server_platf.bug,p2-high,open,open.root_caused,Oak Stream DMR Platforms,Johnson City AP,06/22/2026,"[DMR][BugNinja][DM][APX] #GP / SIGSEGV in sandstone AMX + hammer-ng C6P with APX binaries under hammer-unified",https://hsdes.intel.com/appstore/article/#/14028100885
14028100483,server_platf.bug,p2-high,open,open.assigned,Oak Stream DMR Platforms,Johnson City AP,06/22/2026,"[ATSCALE-CLUSTER][PAIV.Cluster][DMR UCC][cs16ca101hs0307][BETA][VV][BKC OKS-DMR-AP-CENTOS-26.21.3.28][EDAC] CE and UCE and Scrub errors during AtScale: Reset: Warm Reset via redfish + Sandstone",https://hsdes.intel.com/appstore/article/#/14028100483
14028099253,server_platf.bug,p2-high,open,open.assigned,Oak Stream DMR Platforms,Johnson City AP,06/22/2026,"[VV][PAIV.Cluster][DMR UCC][sr48dml024s0103][BETA][VV][BKC OKS-DMR-AP-CENTOS-26.22.7.21][MCE Without Reboot] McBankErrorHandler Skt 0x0 McBank 11 State 0x1 class UCNA MSCOD phoenix_undeterminable during AtScale: Reset: Cold Reset via redfish + Sandstone",https://hsdes.intel.com/appstore/article/#/14028099253
22022463429,server_platf.bug,p2-high,implemented,implemented.awaiting_ingredient_release,Oak Stream DMR Platforms,Customer.Google.Ichiban,05/07/2026,"[DMR][X4][Co-Val][Google][Platform V] Lock Master Timeout during Warm Reset",https://hsdes.intel.com/appstore/article/#/22022463429
15019338704,server_platf.bug,p2-high,open,open.transferred,Oak Stream DMR Platforms,Johnson City AP,04/27/2026,"[DMR X4[DM][BugNinja] page fault in clear_page_erms while running ras-unified",https://hsdes.intel.com/appstore/article/#/15019338704
15019230567,server_platf.bug,p2-high,complete,complete.product_changed,Oak Stream DMR Platforms,Johnson City AP,04/01/2026,"[DMR X1][DM][BugNinja] Assert in StandaloneMm while running ras-unified",https://hsdes.intel.com/appstore/article/#/15019230567
22022084935,server_platf.bug,p2-high,complete,complete.product_changed,Oak Stream DMR Platforms,Johnson City AP,02/12/2026,"[DMR][BugNinja] hammer-unified.{hammer-ng-c-states-randomized-valid-transitions, sandstone-lock } faults inside C-State driver",https://hsdes.intel.com/appstore/article/#/22022084935
22022045838,server_platf.bug,p2-high,complete,complete,Oak Stream DMR Platforms,Johnson City AP,02/02/2026,"[AtScale-Cluster] [DMR][AP][1S] [ES1] [SFT]- Docker image for Sandstone-combo not found in PRT registry",https://hsdes.intel.com/appstore/article/#/22022045838
14026464067,server_platf.bug,p2-high,complete,complete.product_changed,Oak Stream DMR Platforms,Johnson City AP,11/18/2025,"[DMR][BugNinja] System hang with 3Strike while running hammer-unified and C6 (MonitorMWait=0x1)",https://hsdes.intel.com/appstore/article/#/14026464067
14026093607,server_platf.bug,p2-high,complete,complete.product_changed,Oak Stream DMR Platforms,Johnson City AP,10/20/2025,"[DMR][BugNinja] dsa_fill sandstone subtest is detecting incorrect data pattern (relaxed ordering = 1)",https://hsdes.intel.com/appstore/article/#/14026093607
14026028704,server_platf.bug,p2-high,open,open.new,Oak Stream DMR Platforms,Johnson City AP,10/07/2025,"[MSS][PAIV.RTFS][FLEX DMR C0][fl31ca106ls0304] MCE McBankErrorHandler Skt 0x1 McBank 0x6 State 0x1 MCE class FATAL MSCOD 1a00 during Sandstone: Sandstone Release_Oak Stream Platform 1 DMR-PG025.1504_CentOS",https://hsdes.intel.com/appstore/article/#/14026028704
14025679753,server_platf.bug,p2-high,open,open.new,Oak Stream DMR Platforms,Johnson City AP,08/05/2025,"[MSS][PAIV.Serial_IO][FLEX DMR C0][fl31ca106ls0301] MCE Socket 0 ApicId 0 Machine Check Bank 4 Status 0xFA0000000002040C during Cross product stress (CPU+Mem) - Sandstone cache stress + MLC CHA stress_Oak Stream Platform 1 DMR-PD023.601_CentOS",https://hsdes.intel.com/appstore/article/#/14025679753
14025679752,server_platf.bug,p2-high,open,open.new,Oak Stream DMR Platforms,Johnson City AP,08/05/2025,"[MSS][PAIV.Serial_IO][FLEX DMR C0][fl31ca106ls0301] MCE Socket 0 ApicId 0 Machine Check Bank 6 Status 0xFA0000040C000402 during Cross product stress (CPU+Mem) - Sandstone cache stress + MLC CHA stress_Oak Stream Platform 1 DMR-PD023.601_CentOS",https://hsdes.intel.com/appstore/article/#/14025679752
14025679751,server_platf.bug,p2-high,open,open.new,Oak Stream DMR Platforms,Johnson City AP,08/05/2025,"[MSS][PAIV.Serial_IO][FLEX DMR C0][fl31ca106ls0301] IERR CPU Error Occurred IERR during Cross product stress (CPU+Mem) - Sandstone cache stress + MLC CHA stress_Oak Stream Platform 1 DMR-PD023.601_CentOS",https://hsdes.intel.com/appstore/article/#/14025679751
22021462439,server_platf.bug,p2-high,open,open.new,Oak Stream DMR Platforms,Johnson City AP,08/05/2025,"[MSS][PAIV.Serial_IO][FLEX DMR C0][fl31ca106ls0301] IERR CPU Error Occurred IERR during Cross product stress (CPU+Mem) - Sandstone cache stress + MLC CHA stress_Oak Stream Platform 1 DMR-PD023.601_CentOS",https://hsdes.intel.com/appstore/article/#/22021462439
14025652535,server_platf.bug,p2-high,open,open.new,Oak Stream DMR Platforms,Johnson City AP,07/31/2025,"[MSS][PAIV.Serial_IO][FLEX DMR C0][fl31ca106ls0301] IERR CPU Error Occurred IERR during Cross product stress (CPU+Mem) - Sandstone lock stress + MLC CHA stress_Oak Stream Platform 1 DMR-PD023.601_CentOS",https://hsdes.intel.com/appstore/article/#/14025652535
14025652534,server_platf.bug,p2-high,open,open.new,Oak Stream DMR Platforms,Johnson City AP,07/31/2025,"[MSS][PAIV.Serial_IO][FLEX DMR C0][fl31ca106ls0301] MCE Socket 0 ApicId 0 Machine Check Bank 3 Status 0xBE000000E1840400 during Cross product stress (CPU+Mem) - Sandstone lock stress + MLC CHA stress_Oak Stream Platform 1 DMR-PD023.601_CentOS",https://hsdes.intel.com/appstore/article/#/14025652534
14025652533,server_platf.bug,p2-high,open,open.new,Oak Stream DMR Platforms,Johnson City AP,07/31/2025,"[MSS][PAIV.Serial_IO][FLEX DMR C0][fl31ca106ls0301] MCERR CPU Error Occurred MCERR during Cross product stress (CPU+Mem) - Sandstone lock stress + MLC CHA stress_Oak Stream Platform 1 DMR-PD023.601_CentOS",https://hsdes.intel.com/appstore/article/#/14025652533
14025652532,server_platf.bug,p2-high,open,open.new,Oak Stream DMR Platforms,Johnson City AP,07/31/2025,"[MSS][PAIV.Serial_IO][FLEX DMR C0][fl31ca106ls0301] MCE Socket 0 ApicId 0 Machine Check Bank 4 Status 0xFA0000000003040C during Cross product stress (CPU+Mem) - Sandstone lock stress + MLC CHA stress_Oak Stream Platform 1 DMR-PD023.601_CentOS",https://hsdes.intel.com/appstore/article/#/14025652532
14025652531,server_platf.bug,p2-high,open,open.new,Oak Stream DMR Platforms,Johnson City AP,07/31/2025,"[MSS][PAIV.Serial_IO][FLEX DMR C0][fl31ca106ls0301] MCE Socket 1 ApicId 200 Machine Check Bank 4 Status 0xFA0000000001040C during Cross product stress (CPU+Mem) - Sandstone lock stress + MLC CHA stress_Oak Stream Platform 1 DMR-PD023.601_CentOS",https://hsdes.intel.com/appstore/article/#/14025652531
16027356021,server_platf.bug,p2-high,complete,complete.product_changed,Birch Stream Platform,Avenue City,04/29/2025,"[Cluster][CTRLS CWF_AP A0][1S] Kernel Panic (RIP: 0010:mutex_lock+0x2d/0x50) seen while running Sandstone WL (with IAX and/or DSA devices) + Surprise - Graceful Warm/Cold Reset.",https://hsdes.intel.com/appstore/article/#/16027356021
16026327098,server_platf.bug,p2-high,complete,complete.workaround,Birch Stream Platform,Avenue City,12/16/2024,"[CWF AP A0 PO][1S][HSIO]: Observed watchdog: BUG: soft lockup with several cores after 7 hours of dm_Xprod (Sandstone+Mprime+FIO) workloads and also during LTSSM Speed Change All test.",https://hsdes.intel.com/appstore/article/#/16026327098
14023397560,server_platf.bug,p2-high,complete,complete.product_changed,Birch Stream Platform,Avenue City,09/07/2024,"[Cluster][FLEX GNR_AP B3][Master] Bank 7 CHA Error TOR_TIMEOUT 'SAD Target Local Port': 'MEM2/MEM8/MEM3' during sandstone - 1S systems",https://hsdes.intel.com/appstore/article/#/14023397560
15016425852,server_platf.bug,p2-high,complete,complete,Birch Stream Platform,Customer.Dell.HS7720.SRF.SP,07/09/2024,"[Co-Val_BEAT][BHS SRF-SP][QS][CoVal][DELL][HS7][HSIO] Observe MCERR in GPU pytorch + Xprod_Home_Grown_XORCYST concurrency workload",https://hsdes.intel.com/appstore/article/#/15016425852
14022553265,server_platf.bug,p2-high,complete,complete.product_changed,Birch Stream Platform,Avenue City,06/07/2024,"[Cluster][FLEX GNR_AP B1][Multiple] Kernel Panic - RIP: 0010:idxd_pci_probe_alloc+0x7f/0x370 [idxd] during sandstone-rf-cold",https://hsdes.intel.com/appstore/article/#/14022553265
16024409170,server_platf.bug,p2-high,complete,complete.product_changed,Kaseyville,GNR-D_RP_EXTERNAL,06/06/2024,"[KVL GNRD RP][Cluster] System reporting MCA error and not reachable while running sandstone - SBO_BL_DATA_PAR_ERR - IO/Compute",https://hsdes.intel.com/appstore/article/#/16024409170
14022443769,server_platf.bug,p2-high,complete,complete.product_changed,Birch Stream Platform,Avenue City,05/24/2024,"[Cluster][FLEX GNR_AP B0/B1][MASTER]UBOX 0xfa000000c0020440 +3X + IFU 0xbd80000000000006 + DTLB during ifs-combo - Warning 0x1, 0x2 and 0x6 - IFS ifs-cli-v4.2.19-v4",https://hsdes.intel.com/appstore/article/#/14022443769
15016126803,server_platf.bug,p2-high,complete,complete.product_changed,Birch Stream Platform,Customer.Dell.HS7720.SRF.SP,05/24/2024,"[BHS SRF-SP][QS][CoVal][DELL][HS7][HSIO] Observe MCERR in GPU pytorch + Xprod_Home_Grown_XORCYST concurrency workload",https://hsdes.intel.com/appstore/article/#/15016126803
22019830243,server_platf.bug,p2-high,complete,complete.product_changed,Birch Stream Platform,Avenue City,04/07/2024,"[Cluster][FLEX SRF_AP C0][fl31ca303bs0601 & fl31ca303bs0401][MASTER]Kernel panic -fatal exception - RIP: 0010:mutex_lock+0x2e/0x50 + EEVDF during sandstone-rf-warm (In OS)",https://hsdes.intel.com/appstore/article/#/22019830243
22019796936,server_platf.bug,p2-high,complete,complete.product_changed,Birch Stream Platform,Avenue City,04/04/2024,"[Cluster][FLEX GNR_AP A2][Master][Micron 24Gbs] Storm of Correctable Errors during sandstone-rf-cold",https://hsdes.intel.com/appstore/article/#/22019796936
22019736376,server_platf.bug,p2-high,complete,complete.product_changed,Birch Stream Platform,Beechnut City,03/28/2024,"[SRF SP XCC Q4W3 C0][ROW][2S] [Windows][DM]:DPC Watchdog Violation when Sandstone spinlock crosses cacheline WL is run",https://hsdes.intel.com/appstore/article/#/22019736376
14021913002,server_platf.bug,p2-high,complete,complete.product_changed,Birch Stream Platform,Avenue City,03/11/2024,"[Cluster][FLEX GNR AP A2][X3][ES2][MASTER] EEVDF scheduling fail picking leftmost error + Watchdog: BUG: soft lockup during several tests contents - IFS-Combo - Sandstone Chaos",https://hsdes.intel.com/appstore/article/#/14021913002
22019548870,server_platf.bug,p2-high,complete,complete.product_changed,Birch Stream Platform,Beechnut City,02/29/2024,"[GNR][SRF][RAS_DM][Cluster] ras-unified hits results in zlib9 failure: zlib/test.c:46: inflate failed: data error (-3)",https://hsdes.intel.com/appstore/article/#/22019548870
14021728775,server_platf.bug,p2-high,complete,complete.workaround,Birch Stream Platform,Avenue City,02/23/2024,"[Cluster][FLEX GNR_AP/SRF-AP]System stuck in CPLD PC 0x5a | ERROR CAUSED BY S0 POWER FAILURE, ERROR STATE| during AC and Cold cycles",https://hsdes.intel.com/appstore/article/#/14021728775
14021680712,server_platf.bug,p2-high,complete,complete.product_changed,Birch Stream Platform,Beechnut City,02/18/2024,"[GNR][Cluster][RAS_DM] Kernel Panic not syncing - RIP: 0010:os_xrstor+0x39/0xc0 running sgx-ras-noinject - sandstone -e @amx + (harasser) stress-ng-cpu-online",https://hsdes.intel.com/appstore/article/#/14021680712
15015269517,server_platf.bug,p2-high,complete,complete.product_changed,Birch Stream Platform,Beechnut City,02/01/2024,"[Cluster][FLEX SRF SP B0][fl31ca102fs0608][Master]Node hang with Kernel panic - not syncing: Fatal exception with call Trace: mutex_lock during sandstone-release",https://hsdes.intel.com/appstore/article/#/15015269517
15015163639,server_platf.bug,p2-high,complete,complete,Birch Stream Platform,Avenue City,01/18/2024,"[Cluster BEAT] [Cluster][FLEX GNR-AP_X1_X3][Master] Memory Errors RETRY_RD_ERR_LOG_MCDDC_DP_REG & McBank = 0x10xBD80000000100134, class SRAR/DCU during sadstone-rf-warm",https://hsdes.intel.com/appstore/article/#/15015163639
14021368493,server_platf.bug,p2-high,complete,complete.product_changed,Birch Stream Platform,Beechnut City,01/13/2024,"[Cluster][FLEX GNR SP AP ES2] Kernel Panic Kernel panic + RIP: 0010:mutex_lock+0x2e/0x50 during sandstone",https://hsdes.intel.com/appstore/article/#/14021368493
14021313669,server_platf.bug,p2-high,complete,complete.product_changed,Birch Stream Platform,Avenue City,01/07/2024,"[Cluster][FLEX GNR_AP A2][Master] PUNIT 'WATCHDOG', 'error_domain': 'Q-channel' after a warm reset during sandstone-rf-warm",https://hsdes.intel.com/appstore/article/#/14021313669
14020814211,server_platf.bug,p2-high,complete,complete.product_changed,Birch Stream Platform,Avenue City,11/08/2023,"[Cluster][FLEX GNR AP SP][Master] Kernel panic - not syncing: Fatal exception + RIP: 0010:set_next_entity+0x16/0x160 sandstone",https://hsdes.intel.com/appstore/article/#/14020814211
16022337351,server_platf.bug,p2-high,complete,complete.product_changed,Birch Stream Platform,Beechnut City,10/25/2023,"[Cluster][FLEX SRF A0/B0/C0][Master] Node hang with MCA logged from BUS ERROR ( mcacod:0x4 FRC Error)( mscod:0x401] during sandstone-chaos (lockstep)",https://hsdes.intel.com/appstore/article/#/16022337351
15014273364,server_platf.bug,p2-high,complete,complete.product_changed,Birch Stream Platform,Beechnut City,09/14/2023,"[Cluster][FLEX SRF SP A0/B0][fl41ca201es0204][2S][Master] Node hang with MCA Errors logged from PUNIT ERROR ( mcacod:0x402 desc:Pcode Error)( mscod:0x1f00 desc: MCA_TELE_INIT_FAIL",https://hsdes.intel.com/appstore/article/#/15014273364
14020295826,server_platf.bug,p2-high,complete,complete.product_changed,Birch Stream Platform,Avenue City,09/08/2023,"[Cluster][FLEX GNR SP AP][MASTER] Kernel panic - not syncing: Fatal exception + BUG: kernel NULL pointer dereference + RIP: 0010:ida_free+0xd0/0x140 during sandstone cold/warm",https://hsdes.intel.com/appstore/article/#/14020295826
14020056414,server_platf.bug,p2-high,complete,complete.product_changed,Birch Stream Platform,Avenue City,08/09/2023,"[Cluster][FLEX GNR-AP_X1_X3][Master] Memory Errors RETRY_RD_ERR_LOG_MCDDC_DP_REG & McBank = 0x10xBD80000000100134, class SRAR/DCU during sadstone-rf-warm",https://hsdes.intel.com/appstore/article/#/14020056414
14019997355,server_platf.bug,p2-high,complete,complete.product_changed,Birch Stream Platform,Avenue City,08/01/2023,"[Cluster][NOT OK][FLEX][GNR-AP] mesh_stress_01 # timed out - GNR mesh-stress test execution time 10x slower than SPR.",https://hsdes.intel.com/appstore/article/#/14019997355
14019959162,server_platf.bug,p2-high,complete,complete.product_changed,Birch Stream Platform,Avenue City,07/26/2023,"[Cluster][FELX GNR AP A2][ES1 X3][MASTER] MCA_HPM_SYNC_ACK_TIMEOUT + MCA_GPSB_TIMEOUT during sandstone-rf-cold - PC 0x08 + ERROR: No cpu found",https://hsdes.intel.com/appstore/article/#/14019959162
14019811584,server_platf.bug,p2-high,complete,complete.workaround,Birch Stream Platform,Avenue City,07/08/2023,"[Cluster][FLEX GNR-AP X3 A2][Reset] NSSCPLL Lock causing hang while running warm/cold resets cycle",https://hsdes.intel.com/appstore/article/#/14019811584
14019708727,server_platf.bug,p2-high,complete,complete,Birch Stream Platform,Avenue City,06/23/2023,"[Cluster][GNR AP X3 A2] ras-unified: fatal: workload = sandstone -e... = (SIGSEGV) - sandstone CMPXCHG x poison stress",https://hsdes.intel.com/appstore/article/#/14019708727
15013576471,server_platf.bug,p2-high,complete,complete,Whitley Platforms,Wilson City,06/05/2023,"validation task for releasing Sandstone 150 and DCDiag 576 release",https://hsdes.intel.com/appstore/article/#/15013576471
