hsd_id,platform,source_query_id,status,tier,approval_status,evidence_score,owner,attachments_present,validation_evidence,rejection_reasons,missing_evidence,gap_count,fastest_path_to_promotion,promotion_effort_rank
13010788085,GNR,16026853717,rejected,REJECT,REJECTED,25,jadelaoy,Yes,No validation evidence,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,3,Resolve disposition or replace candidate,"NON_TERMINAL_OR_REJECTED_STATUS,ROOT_CAUSE_MISSING,REPRODUCTION_OR_FIX_VALIDATION_MISSING"
13010788087,GNR,16026853717,rejected,REJECT,REJECTED,25,jadelaoy,Yes,No validation evidence,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,3,Resolve disposition or replace candidate,"NON_TERMINAL_OR_REJECTED_STATUS,ROOT_CAUSE_MISSING,REPRODUCTION_OR_FIX_VALIDATION_MISSING"
13010788089,GNR,16026853717,rejected,REJECT,REJECTED,25,jadelaoy,Yes,No validation evidence,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,3,Resolve disposition or replace candidate,"NON_TERMINAL_OR_REJECTED_STATUS,ROOT_CAUSE_MISSING,REPRODUCTION_OR_FIX_VALIDATION_MISSING"
13010788090,GNR,16026853717,rejected,REJECT,REJECTED,25,jadelaoy,Yes,No validation evidence,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,3,Resolve disposition or replace candidate,"NON_TERMINAL_OR_REJECTED_STATUS,ROOT_CAUSE_MISSING,REPRODUCTION_OR_FIX_VALIDATION_MISSING"
13010788091,GNR,16026853717,rejected,REJECT,REJECTED,25,jadelaoy,Yes,No validation evidence,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,3,Resolve disposition or replace candidate,"NON_TERMINAL_OR_REJECTED_STATUS,ROOT_CAUSE_MISSING,REPRODUCTION_OR_FIX_VALIDATION_MISSING"
13010788093,GNR,16026853717,rejected,REJECT,REJECTED,25,jadelaoy,Yes,No validation evidence,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,3,Resolve disposition or replace candidate,"NON_TERMINAL_OR_REJECTED_STATUS,ROOT_CAUSE_MISSING,REPRODUCTION_OR_FIX_VALIDATION_MISSING"
13011141637,SRF,16027811005,rejected,REJECT,REJECTED,25,jessielu,Yes,No validation evidence,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,3,Resolve disposition or replace candidate,"NON_TERMINAL_OR_REJECTED_STATUS,ROOT_CAUSE_MISSING,REPRODUCTION_OR_FIX_VALIDATION_MISSING"
13011141639,SRF,16027811005,rejected,REJECT,REJECTED,25,linmatt2,Yes,No validation evidence,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,3,Resolve disposition or replace candidate,"NON_TERMINAL_OR_REJECTED_STATUS,ROOT_CAUSE_MISSING,REPRODUCTION_OR_FIX_VALIDATION_MISSING"
13011141640,SRF,16027811005,rejected,REJECT,REJECTED,25,linmatt2,Yes,No validation evidence,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,3,Resolve disposition or replace candidate,"NON_TERMINAL_OR_REJECTED_STATUS,ROOT_CAUSE_MISSING,REPRODUCTION_OR_FIX_VALIDATION_MISSING"
13011141642,SRF,16027811005,rejected,REJECT,REJECTED,25,jessielu,Yes,No validation evidence,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,3,Resolve disposition or replace candidate,"NON_TERMINAL_OR_REJECTED_STATUS,ROOT_CAUSE_MISSING,REPRODUCTION_OR_FIX_VALIDATION_MISSING"
13011141643,SRF,16027811005,rejected,REJECT,REJECTED,25,ptonongi,Yes,No validation evidence,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,3,Resolve disposition or replace candidate,"NON_TERMINAL_OR_REJECTED_STATUS,ROOT_CAUSE_MISSING,REPRODUCTION_OR_FIX_VALIDATION_MISSING"
13011141645,SRF,16027811005,rejected,REJECT,REJECTED,25,ptonongi,Yes,No validation evidence,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,3,Resolve disposition or replace candidate,"NON_TERMINAL_OR_REJECTED_STATUS,ROOT_CAUSE_MISSING,REPRODUCTION_OR_FIX_VALIDATION_MISSING"
